search_term;cluster;clicks;impressions;cost_rsd;conversions;flag_neg;flag_out_of_offer
vestacka trava;fudbal-trava;2;20;63;0;0;0
wpc deking;ostalo;3;72;63;0;0;1
podloga za bazen;bazen;2;23;62;0;0;0
novi podovi;ostalo;3;32;61;0;0;0
podloge za terasu ikea;terasa-balkon;4;7;60;0;0;0
podloga za terase;terasa-balkon;4;20;60;0;0;0
industrijski podovi srbija;industrijski;3;24;60;0;0;0
deking podovi za terase;terasa-balkon;3;16;59;0;0;1
podne podloge za terase;terasa-balkon;4;17;59;0;0;0
plasticne obloge za pod;pvc-plastika;3;26;58;0;0;0
gumene podloge za pod;gumeni-podovi;3;20;58;0;0;0
letvice za pod;ostalo;3;4;58;0;0;1
gumene podloge za dvoriste;dvoriste-basta;3;7;58;0;0;0
podne obloge za garaže;garaza-servis;3;6;57;0;0;0
drvene podne obloge za terasu;terasa-balkon;3;9;57;0;0;1
silikonski podovi;ostalo;2;8;56;0;0;0
gumeni pod cena;gumeni-podovi;2;4;56;0;0;0
epoksi podovi za terase;epoksid-conquest;3;14;55;0;1;0
industrijski beton;industrijski;3;23;55;0;1;0
commercial pvc flooring;pvc-plastika;3;3;55;0;1;0
ikea plocice za terasu;terasa-balkon;2;3;54;0;0;1
podne obloge terasa;terasa-balkon;3;6;54;0;0;0
deking ploce za terase cena;terasa-balkon;2;6;54;0;0;1
gumirani podovi;ostalo;2;11;53;0;0;0
cena dekinga po kvadratu;ostalo;2;8;53;0;0;1
gumeni podovi za garaze;garaza-servis;2;12;53;0;0;0
industrijski podovi za garaže cijena;industrijski;2;15;53;0;0;0
podovi za autoservise;garaza-servis;3;15;53;0;0;0
plasticni podovi za terase;terasa-balkon;2;8;52;0;0;0
podloga za bazene;bazen;1;2;52;0;0;0
poliuretan podovi;epoksid-conquest;2;27;52;0;1;0
izrada podova;ostalo;3;22;52;0;0;0
industrijski podovi za radionice;industrijski;3;11;51;0;0;0
plocice za terase ideje;terasa-balkon;2;1;51;0;0;1
poliesterski podovi;epoksid-conquest;2;9;50;0;0;0
deking ograde cena;ostalo;1;2;48;0;0;1
podna obloga za garažu;garaza-servis;2;5;48;0;0;0
plasticne plocice za terasu;terasa-balkon;3;10;48;0;0;1
baštenske podne obloge;dvoriste-basta;1;7;47;0;0;0
podne obloge za dvorista;dvoriste-basta;3;7;47;0;0;0
izrada epoksidnih podova;epoksid-conquest;2;19;47;0;1;0
garazni pod;garaza-servis;3;43;47;0;0;0
vinilis podovi;lvt-vinil-parket;2;29;46;0;0;0
marmoleum;ostalo;3;3;45;0;1;0
betonski podovi;ostalo;3;12;45;0;1;0
wpc deking podovi;ostalo;1;5;45;0;0;1
podovi za bolnice;ostalo;2;10;44;0;0;0
ibotac podovi cijena;konkurenti;2;3;44;0;1;0
epoksidni premaz cena;epoksid-conquest;2;5;44;0;1;0
pvc pločice za garažu;garaza-servis;2;3;44;0;0;1
vinil pvc podovi;lvt-vinil-parket;2;22;44;0;0;0
izrada epoxy podova;epoksid-conquest;2;11;44;0;1;0
sika podovi;konkurenti;2;11;44;0;1;0
prodaja podnih obloga;ostalo;2;6;44;0;0;0
