query;clicks;impressions;ctr;position
koliko kosta teniski teren;2;73;0,0274;7,2055
plasticne podloge za travnjake;2;68;0,0294;2,1912
podovi za bazene;2;67;0,0299;2,597
koševi;2;67;0,0299;17,5672
фталати;2;67;0,0299;24,0896
gumene ploče za pod;2;66;0,0303;10,9242
podloge za garaže;2;63;0,0317;8,2063
pvc pod za terase;2;59;0,0339;10,5932
tartan podloga cijena;2;55;0,0364;8,6
trava za stadione cena;2;55;0,0364;6,2
podloga za vestacku travu;2;53;0,0377;10,0377
plastična podloga za travu;2;52;0,0385;1,9423
podloga za epoksidni pod;2;52;0,0385;3,9808
podovi za terase i balkone;2;51;0,0392;8,1765
podloga za igraliste;2;51;0,0392;8,8039
industrijskih podovi;2;50;0,04;5,4
kos sa konstrukcijom cena;2;49;0,0408;8,0816
košarkaške table;2;47;0,0426;10,2128
pvc podloga za terasu;2;46;0,0435;9,1957
pod terase;2;45;0,0444;13,9778
najbolji pod za garazu;2;44;0,0455;6,7955
pvc ploce za pod;2;44;0,0455;8,3182
podne pločice za garažu;2;43;0,0465;9,5349
podne obloge za bazene;2;42;0,0476;1,1905
kos konstrukcija cena;2;41;0,0488;6,6585
gumene ploce;2;41;0,0488;29,0244
gumene podloge za garažu;2;41;0,0488;8,3415
reflektori za sportske terene cena;2;40;0,05;9,95
kako sanirati beton koji se kruni;2;40;0,05;19,075
dunkshop teren;2;40;0,05;4,275
kos u dvoristu;2;40;0,05;1,85
table za kosarku;2;37;0,0541;9,9189
plasticne kocke za pod;2;37;0,0541;16,6757
podloge za radionice;2;35;0,0571;3,8
izgradnja padel terena;2;35;0,0571;13,2571
linoleum preko parketa;2;34;0,0588;6,4412
kos dimenzije;2;33;0,0606;1
pvc podloga za pod;2;32;0,0625;15,1875
tabla za kosarku dimenzije;2;32;0,0625;1
parking ploce;2;31;0,0645;8,6129
3x3 teren dimenzije;2;30;0,0667;1,6
obruc za kos;2;30;0,0667;20,2667
podovi za spoljne terase;2;29;0,069;6,9655
teron podna obloga;2;27;0,0741;10,6296
kos za basket;2;27;0,0741;10,6296
podloga za dvorište;2;27;0,0741;9,2593
velicina kosarkaske table;2;27;0,0741;1
beton tenis;2;26;0,0769;1,5
podne obloge za balkon;2;26;0,0769;21,1538
dimenzije kosarkaskog igralista;2;24;0,0833;1,4167
košarkaški teren skica;2;24;0,0833;1
kosarkaska tabla;2;23;0,087;34,7391
rešetke za parking;2;23;0,087;7,2174
obloge za dvoriste;2;23;0,087;8,913
rešetke za stabilizaciju šljunka cena;2;22;0,0909;10,5
montazne staje za konje;2;22;0,0909;8,4545
quectel beograd;2;22;0,0909;22,5455
padel teren podloga;2;20;0,1;7,2
podloga za letnjikovac;2;20;0,1;8,5
gumeni podovi za teretanu;2;17;0,1176;24,3529
staze za auto;2;17;0,1176;7,2353
podloga za sportske terene cena;2;15;0,1333;1,6
pvc pod za radionice;2;14;0,1429;6,3571
gumene podloge za dvoriste;2;14;0,1429;9,2857
linoleum;2;13;0,1538;9,1538
podovi pvc;2;12;0,1667;8,1667
plasticne podloge za podove;2;12;0,1667;9,25
pod za oko bazena;2;12;0,1667;1,75
dimenzije kosarkaske table i kosa;2;11;0,1818;1
reflektori za igrališta;2;11;0,1818;4,0909
oprema za sportske dvorane;2;10;0,2;4,9
akrilne sportske podloge;2;9;0,2222;13,8889
kosevi za kosarku;2;9;0,2222;17,2222
pod za podrum;2;8;0,25;8,5
